video_id,comment_id,is_reply,reply_to,comment_lenght,comment,author,channel_id,comment_publishedAt,seconds_after_video,seconds_after_comment,subscriberCount,videoCount,viewCount,bot
rPXasD5We5k,UCLtpqrv5h-Y6tipBwahK5HQ_90,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@showggaming6901,UCLtpqrv5h-Y6tipBwahK5HQ,2025-06-19T01:34:39Z,12719,7882,5,2,48,0
rPXasD5We5k,UC4_wmMlNLepkifzr02GTP1g_91,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@lanjinhavidigal8296,UC4_wmMlNLepkifzr02GTP1g,2025-06-19T01:37:20Z,12880,8043,2,0,0,0
rPXasD5We5k,UC949QSSMOEA8a5_IuWgFyVg_92,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@matheusnuness18282,UC949QSSMOEA8a5_IuWgFyVg,2025-06-19T02:12:59Z,15019,10182,1,0,0,0
rPXasD5We5k,UC7kW-TW8ekIT3jDyIpmvZWg_93,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@Bradpitdavida,UC7kW-TW8ekIT3jDyIpmvZWg,2025-06-19T02:24:51Z,15731,10894,8,0,0,0
rPXasD5We5k,UCLtpqrv5h-Y6tipBwahK5HQ_94,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@showggaming6901,UCLtpqrv5h-Y6tipBwahK5HQ,2025-06-19T02:59:25Z,17805,12968,5,2,48,0
rPXasD5We5k,UCehvum1AiIYWmw1k9DWXmgA_95,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@diegocrvlho,UCehvum1AiIYWmw1k9DWXmgA,2025-06-19T08:43:51Z,38471,33634,0,0,0,0
rPXasD5We5k,UCehvum1AiIYWmw1k9DWXmgA_96,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@diegocrvlho,UCehvum1AiIYWmw1k9DWXmgA,2025-06-19T08:44:19Z,38499,33662,0,0,0,0
rPXasD5We5k,UCehvum1AiIYWmw1k9DWXmgA_97,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@diegocrvlho,UCehvum1AiIYWmw1k9DWXmgA,2025-06-19T08:45:53Z,38593,33756,0,0,0,0
rPXasD5We5k,UCY0hOX3Hm1ZyWrBLDOH0sFQ_98,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@NIGHT-ws3pc,UCY0hOX3Hm1ZyWrBLDOH0sFQ,2025-06-19T12:33:25Z,52245,47408,35,0,0,0
rPXasD5We5k,UCl6J1-6KUl-KpAKv9pidebg_99,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@briquesbts,UCl6J1-6KUl-KpAKv9pidebg,2025-06-19T12:55:40Z,53580,48743,1,0,0,0
rPXasD5We5k,UCLtpqrv5h-Y6tipBwahK5HQ_100,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@showggaming6901,UCLtpqrv5h-Y6tipBwahK5HQ,2025-06-19T14:51:08Z,60508,55671,5,2,48,0
rPXasD5We5k,UCfJbcx68lW4nhonmUcp2yjw_101,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@FelipeSilva-eq1bu,UCfJbcx68lW4nhonmUcp2yjw,2025-06-19T14:51:53Z,60553,55716,1,0,0,0
rPXasD5We5k,UCBHIfvPa3lWhmA4F2mtlWQw_102,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@MaiconJunio-p3v,UCBHIfvPa3lWhmA4F2mtlWQw,2025-06-19T21:30:41Z,84481,79644,0,0,0,0
rPXasD5We5k,UC457ONJhpsGCpxxHZSc39iw_103,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@caioalves-b1s,UC457ONJhpsGCpxxHZSc39iw,2025-06-20T15:54:22Z,150702,145865,0,0,0,0
rPXasD5We5k,UC1IRqgz_w11h2C8xlAlV3xA_104,0,,36,,@brunomartins-bi6ff,UC1IRqgz_w11h2C8xlAlV3xA,2025-06-18T23:13:33Z,4253,,0,0,0,0
rPXasD5We5k,UCU5gSyAdBOg-SaJld4e5jCw_105,1,UC1IRqgz_w11h2C8xlAlV3xA_104,36,,@soriano7583,UCU5gSyAdBOg-SaJld4e5jCw,2025-06-19T00:14:44Z,7924,3671,730,163,343252,0
rPXasD5We5k,UCRAT0s8zibysPv3evU8ZOYA_106,1,UC1IRqgz_w11h2C8xlAlV3xA_104,36,,@slamemes,UCRAT0s8zibysPv3evU8ZOYA,2025-06-19T00:36:04Z,9204,4951,21,2,5350,0
rPXasD5We5k,UCTx3fAg07lcVu0RU0IBdCeA_107,1,UC1IRqgz_w11h2C8xlAlV3xA_104,36,,@Ironicosempre,UCTx3fAg07lcVu0RU0IBdCeA,2025-06-19T01:32:07Z,12567,8314,20,0,0,0
rPXasD5We5k,UCno07_1kSmF5d_nrrRiCpNw_108,1,UC1IRqgz_w11h2C8xlAlV3xA_104,36,,@vitorsilveira9952,UCno07_1kSmF5d_nrrRiCpNw,2025-06-19T01:39:01Z,12981,8728,1,0,0,0
rPXasD5We5k,UCZ0l326mN5qe0RyfgT--oFw_109,1,UC1IRqgz_w11h2C8xlAlV3xA_104,36,,@gabrielbrandao2270,UCZ0l326mN5qe0RyfgT--oFw,2025-06-19T01:58:48Z,14168,9915,3,4,17,0
